reviewText,summary,unixReviewTime,helpful,unhelpful,rating,label
I could relate to the characters: the divorcee who's trying to get back in shape and the personal trainer who had a crush on said divorcee when he was a kid. The connection between the two characters is awesome. I love that the hunky hero is attracted to the plus-sized heroine.,Love it!,1397174400,0,0,5,1
"This was well written and very interesting.  The author did a very good job at explaining a lot in a very short time.  The main characters had a past history together, which I enjoyed.  Overall this was a good read.  My only complaint was that it was too short.",Good- but too short!,1265328000,0,0,4,1
"This book was a freebie that I got a while back on my Kindle.It's the story of a serial killer who travels the highway looking for hitchhikers. Once he gets them he enjoys killing and torturing them. After having enjoyed a kill earlier in the day, he sees a girl hitching under an overpass. He decides he's ready for a new kill. When he picks her up, he realizes she is not the defenseless female that he had thought.This short story is not for the squeamish, but is a twisted story of a serial killer. I thought it was a fun read.",Twisted,1383177600,0,0,4,1
I just love this series. Every book is so entertaining and I have a hard time putting the books down.,Love this series,1374624000,0,0,5,1
"i have to say, id never read any of biance d'arc's books before, this was recommended to me and im so glad it was, a brilliant story with characters, you'll fall in love with.this is the first book in the series, and after reading this book i went out and bought the rest of the books","brilliant, brilliant, brilliant",1358726400,6,6,5,1
Love this series currently reading book 3 and i love this one. Give this series a try you wont be disappointed.,great series,1366848000,0,0,4,1
"Ok,  it isn't completely free of holes in the plot.  Most books and movies have them if you spend time thinking about it.  I loved this book and hope she writes the sequel(s).  Much of the book takes place in Meagan's head and the conversations she holds with herself.  Very little of the dialogue is with her vampire lover or anyone else for that matter..  It felt comfortable and believable to me since that is where I spend much of my time - in my own head.  I rather enjoyed this style, although more actual conversations wouldn't have hurt the book(that is a note to the author if she reads this).  I want to know what happens when Meagan explores more of her capabilities as a witch.  I also enjoyed the fallible nature of the vampires in this world.  This was a great free read and I will willingly pay for the next book.",Good start to the series,1305331200,3,3,4,1
"I highly suggest getting this ebook! I agree with several other reviewers in that this is a unique take on a vampire story compared to those that are out there now. I don't want to go into any more details about the plot than others have because I am not wanting to spoil it. This story is the first of three. The sequel is Blood Hunt and I am hoping it will be available soon because I am anxious to read more! There were a few parts of the book that were skim worthy, but I believe it was because I was curious about the ending. I admit to being a bit impatient when the story grips me like this one. I was happy to find out about the story being continued. Congrats to the author!",LOVED IT!! :),1294358400,0,0,5,1
"The Good Stuff:This was a terrific story.The writing was some of the most skillful I have seen in a very long time.While reading it, I actually wished that our prisons were like the one in the story. Crime would definitely decline.The Bad Stuff:I would have liked a little more explanation in the end, perhaps a final visit from the warden.Overall, a terrific example of the writing skill of this author. A longer work of his that readers might enjoy isPARALLAX.Length: Short Story - 406 LocationsRating: R for violence and adult situations",Great Story,1247961600,3,3,4,1
"I'm a big fan of many a Tuttle story.  This one is a little darker than his usual fare.  It has that great Tuttle atmosphere and great characterizations.  I'm not a huge fan of short stories, but this one does the job and is a good read.  A good story to pick up when you don't have a lot of time and need something you know will be quality.",An interesting diversion,1331078400,2,2,4,1
Kill The Story was a very good book. I thought it would go one way but it turned in another direction. This is what I like in a book: interested and could not wait to see what would happen next.I will definitely look for other books by John Luciew.,Very Good,1265587200,3,3,5,1
"I downloaded EQMM yesterday and keep reading it even though I have tons of books waiting to be read, love the stories and will be more than happy to pay the 2.99 after the 14 day free trial ends.Ellery Queen's Mystery MagazineAfter reading a lot of books on my kindle it is nice to settle down with a quick mystery and a cup of tea.","Great magazine, totally happy with it.",1268352000,2,2,5,1
"This book has an interesting story of America after ""the Crash"" where there is no power or modern civilization. I would not catagorize this book at romance, but it was still a good read.",Good story but not a romance.,1336694400,0,0,4,1
"Despite the corny feel of that game, gay chicken?, this book was definitely worth a read. And a re-read. Maybe even a third. Because that's how hot these two guys were together. Also, the attraction didn't feel forced. I thought it flowed perfectly :)Fakkit, I'll probably read it a fourth time, too.",Steamy,1364860800,1,1,4,1
"PsyCop Victor Bayne is one of the most lovable anti-heroes I have ever encountered in popular culture. He's a drugged up clutz, a loner and a bit of a jerk really. But so, so brave and heroic and absolutely wonderful in all his awkwardness! This book also has a freakishly romantic ending...","Victor Bayne, what can I say...",1364169600,0,0,5,1
"I really enjoyed terrible entire story. I can only hope that I would act as intelligent and resourceful as these young people, if I were ever placed in the same circumstances",Surviving The Fog,1391212800,0,0,5,1
The writer is a fantastic writer.  I have read other books by her.  Can't wait until she writes more books,Enough Good News (Good News Series Vol.1),1357430400,0,0,5,1
A lovely and sweet story in faith and the belief that happiness is deserved and continues to triumph out a difficult and disappointing news. A story of timeless and unconditional love,Sweet Story,1370736000,0,0,4,1
This book has everything you could ever want in a great book - wonderful characters and a great story that is well written. I highly recommend it. I couldn't put it down.,The best book I have read in a long time,1334361600,6,6,5,1
I ENJOYED THIS STORY A GREAT DEAL.  IT WAS WELL WRITTEN.  THE CHARACTERS ARE REAL. I would recommend this book.,Wonderful,1388448000,0,0,5,1
"I enjoyed this series more than I would have expected given that I don't typically like historicals. I really liked how the author captured the repressed nature of the time period, and the angst felt by the main characters made this a very enjoyable series to read. Also, always enjoy reading books that don't have grammatical or spelling errors :)",A good series,1391385600,0,0,4,1
"If you love historical romance with plenty of steamy scenes, read this book. I liked the main couple, who went through a lot to be together. There were times when the words seemed too modern but it wasn't distracting. I look forward to reading more of this series.",Steamy!,1345939200,2,2,4,1
I gave it a four only because it lagged in the dialogue but other than that it was great. I thought that the heady depiction of the craziness that happens at the beginning of a relationship was amazing! I definitely would read more from this author.,Surprisingly Good,1390003200,0,0,4,1
actually call me a hog and butcher me for bacon. I just love the masculine lust for life that he potrays here and his chivalrous ideologues when arbitrating his sexual prowess.  Oh my.,call me a god,1357084800,0,0,5,1
"This wonderful collection of stories takes me back to my favorite TV shows from way back; Twilght Zone, One Step Beyond, and Night Gallery. I'd love to see this collection of stories made into a TV format or Movie (s). I am a fan and will continue to read Scott Nicholson's work. Brilliant author with a great imagination. Looking forward to his next book.",You are hooked from the start!,1304553600,0,0,5,1
Have read all of the Hawke series and just wish there were more of them... Hopefully Mr. Vaughan will write more of them...,Loved the Hawke series,1403827200,0,0,5,1
I hadn't read this series before and was surprised how nice it is. It made me laugh but it made me wish also that these types of men existed. It was hard to put down.,Great read,1347494400,1,1,5,1
Was a great read for the summer or winter. For lovers that love love stories. True love last forever.BRAB Book Club,Good read....,1364256000,0,0,4,1
This was a really nice story. not too long but enjoyable.I'm glad Stephanie and her son got away from that no good man who abused her.what a worthless piece of human garbage .ugh! glad Stephanie met Cory.The ending was good.,What a  sweet romance.,1387497600,0,0,4,1
The reporting is good - this is just higher priced than some other good newspapers so I tend to get the other newspapers which have basically the same news.,good reporting,1380672000,0,0,4,1
"I should know better, but i always expect that books in a box set are likely to disappoint. As if authors dump their duds into these sets just to make a couple bucks they'd never make on their own. This was included in a 9-book set of murder mysteries that have yet to disappoint! I thoroughly respect Forester's method for maintaining hope in the face of despair..of keeping the reader in the dark with the lights all on. Without spoiling the story, realize I awarded it 5 stars and rave about the technique. Say no more!",Better than expected!,1401667200,0,0,5,1
"Sweet RestDee Dailey at the Romance Studio said, ""...JoAnn Carter blends a mystery with a love story and the growth of the strong willed Leah. Mike has always let God guide his life. No matter what others expect he preferred to pray and have faith in the direction he's sent. Leah prefers to do things her own way. Stuck in a situation she can't control she has to rely on God's guidance to survive. Characters and dialogue add some suspense to the story and keep us guessing until it's all tied together.""For the full review please go to: [...]",A blend of mystery and love story!,1273622400,0,0,5,1
I enjoyed reading this series. Made my day go by quickly.  I look forward to some more books by this author.,Good read,1372204800,0,0,5,1
"Some of the best songs to play in the home.  We already had the collection on cd and spiral-bound book, so we wanted to complete the collection and have it on Kindle so our missionary son has the music with him all the time.",Great to have with you any time.,1354320000,1,1,5,1
I liked this story it was unique and different from any story I have read. I wish it was longer but maybe that was the intent. Enjoy.,"Unique, sexy, fun read",1358553600,0,0,5,1
"Wine and romance perfect combo Bella Andre delivers again, a story of three friends all escaping the daily life of the city and each indulging in their weekend getaway with three men who know how to break down the walls around their hearts. Each struggle with the new found love they have in men know how to  wine country after disastrous relationships make them second guess themselves but three Napa men prove to them that a second chance is nothing to be afraid of.",Romantic in Napa,1390780800,0,0,5,1
"Wasnt sure what I was going to think with this one but decided to go for it!I am glad I did!Im no grammer queen so didnt worry about it to much,the plot of the story made up for that as far as I was concerned.All I can say is this book made me glad I was nice to others in school!This book was fantastic and will make you stop and think!The end was not what I expected at all it had a nice little twist.Lesson here...Treat others right or you could end up on a list you cant come off until your dead!Loved it!Give it a read!If you have kids in school you will hope they are good to others while they are there!",Oooooh WOW!,1359244800,1,1,5,1
I look forward to this blog everyday. I have so many books waiting to read I wonder when I am going to run out of room! They are all from suggestions on Michael's blog. He really gives us a good mix of genres and usually picks books with high rating which is another great thing. I have recommended this to a few people that I know own a kindle.,Very Helpful!,1275091200,2,2,5,1
I have all of these books in the first set of Westmoreland stories on hardback but wanted them also on my tablet.  It is easie to store on the tablet even though I am collecting all of her books on hardback.  Great read for those of you that have never read a Brenda Jackson book.,Love,1393372800,0,0,5,1
"This is a spellbinding tale of intrigue, kidnapping, danger, passion and of course, love. Michael and Hannah are two complex characters I thoroughly enjoyed!",Fairy tale meets reality.,1364083200,1,1,5,1
"I really enjoyed this book. The premise worked, the characters were real and the attempts to survive by the main characters had you rooting for them. Good character development and a really good story.",A great adventure,1382832000,0,0,4,1
"This was an amazing story. I read it months ago before I started blogging or even knew what blogging was. It's haunted me ever since though since I never reviewed it once I did start blogging lol.The story centers around a nineteen year old girl named Selina whose only mission in life to heal with the special gift she was born with. However each healing she offers brings her closer to death, which is noted by the marking on her neck. Each time she heals the marking magically adds to itself until it encircles her neck and she dies.On this healing expedition she has to travel really far to heal the king of a neighboring kingdom. Despite being told not to go because the trek is dangerous, she knows she will die soon and it may be her only chance to have some adventure in her short life.She meets Faldon he's a shape shifter under a curse. He was once the leader of the Feyquin which are magical horses, the exact opposite of the well known Nitemares of many myths and lore. Faldon wants nothing more than to find the demon that cursed him and the human who shares his curse in the reverse fashion.He despises humans but something about Selina draws him to her and while they're friendship is rocky it's also strong.I found not one error in novella, so kudos to the editor!I absolutely loved this story. I without a doubt teared up at the end of it, my heart breaking for Faldon and Selina.I only wish this author had written a sequel so I could see what became of Faldon and the Feyquin, or even a prequel to learn more about Selina's life before this last trek.This is a great story and I think many people will love.I give this book 5 of 5 paws and apologize for the long delay in my review",Amazing Novella,1378598400,1,1,5,1
"It's WONDERFUL!!  The old one I had was very slow, and a constant problem. It seemed very flimsy.  This one is a joy!!!",AC Charger for Kindle,1393113600,0,0,5,1
Rhonda is amazing at writing about the characters and making it feel like you are truly them or feeling the same feeling they are. Great read.,AWESOME!,1378339200,0,0,5,1
i didnt know what to expect but i really liked this it was a fun read it was romantic and tender i will read more from this author.,loved it,1310515200,3,3,5,1
Great for those who may need help figuring out what a word means as it gives additional ways to think of the word in ( ) throughout the Bible text.,So nice to see without translator notes,1377216000,0,0,5,1
"In this prequel, we are sprung into a world where the society as we know it has fallen. People must barter for anything and something only belongs to you so long as you can keep someone else from stealing it. We watch as Elysia tries to steal some food using stealth and some hidden ability to not be seen. Darien watches from the crowd horrified that the woman he's been looking for is about to be killed. They help each other escape Baltimore on a boat and learn about their difficult past together. As they work towards going into the wilderness, they finally find out how to trust each other and then they meet their spirit guide who takes them to others who've answered the call to find a new way to live.This story is fast paced with chapters that are only a few pages long. I was worried at first that I wouldn't understand enough about the story with it being like that, but I was pleasantly surprised. This story definitely peaked my interest and took only a few hours to read. It coming as a prequel to the Aspect of Crow Trilogy and is well written. I'd definitely give it a go.",Lovely Prequel,1276646400,4,4,4,1
"This was an exciting thriller as promised, but it was rather disappointing in that it ended too soon for my satisfaction.",Seven Days From Sunday,1368230400,0,0,4,1
"MAX THOMPSON IS ONE SMARTY CAT.  THIS BOOK IS SO FUNNY.  THE WRITING REMINDS ME OF ONE OF MY NIECES.  I CAN ALMOST HEAR HER SAYING SOMETHING SIMILAR REGARDING HER FELINE, IF HE COULD TALK.",SMART ALECKY CAT,1380412800,0,0,5,1
"I recently read Turning Back the Clock. I was attracted to this book as a history buff who loves historical fiction. I had some concerns since I'm not much of a baseball fan, but I very quickly realized that I didn't have to be. This story pulled me in from page 1 and kept drawing me in until the very last page. I was also able to learn about a few events in the history of major league baseball that I was totally unaware of.  From a different angle, who hasn't dreamed of going back in time to meet your favorite sports or historical figure? This is a great mix of science fiction, history, and of course America's favorite past-time. Well done, John Fitch V! Thank you for a great read.",You don't have to be a baseball fan to enjoy this story!,1269302400,4,4,5,1
"I enjoyed the first book so much, I bought books 2 and 3 to see how the story ends. Humans may be the weaker party in the series, but they put up a good fight against both vampires and thralls as they fight for survival. The book has great characters and plenty of action. I can't wait to read the third book in the series.",Good second book,1375056000,0,0,4,1
I like simon's books  they are comfotable to read and the characters everyday in their behaviour  They are very likeable,nz review,1368921600,0,0,4,1
This book has a lot of action and adventure along with romance. It has a few twist and turns. I liked how the author incorporated the prophecy series into this book. This book has opportunities to write extended stories concerning the mother and sister. Very good book I recommend it.,Seventh circle,1396310400,0,0,5,1
"First, I dont like to give out info on the story, as you can read that in the synposis of the book and by other reviews. I just want to say I loved this book. It was different than the other vamp books which are getting so predictable. There are twists that I have never seen explored in other vamp books I have read, but they enhance the story and dont ruin it. Some books go so far out, it ruins the fantasy. This one makes the twists work without spoiling the fantasy. I am so waiting for the next installment. Definitely give it a try!!",A new twist,1297987200,0,0,5,1
I loved this book. The characters were great and the story was great. I couldn't put this book down until I finished it. I recommend this book to everyone.,The Greek tycoons lover,1393545600,0,0,4,1
