reviewText,summary,unixReviewTime,helpful,unhelpful
"I was hoping to find something I could knit for my husband or son.  This was not the case.  This is filled with items that I did not find useful at all, for us.  Unless I wanted to knit novelty items like a beard or a literal skull cap.  Most we're items that you could knit as a joke for maybe Halloween.  Not exactly what I was looking for, but each item had what looked like thorough instructions.",I should have looked into this one more!,1351468800,0,0
"i won't say this is a bad read but it wasn't all that either...i think the fight scenes kinda went overboard...quincy kept getting busted but tamika decides to marry him anyway, go figure...now this story seems realistic but i was hoping for her to wake up and meet the right guy instead of settling for quincy and his other family that he decided to keep a secret...i don't think i will be recommended this one",glad it was free,1355270400,1,1
This book takes you back in time and keeps you there. You don't want to put it down. what a wonderful read.,Ante-Bellum days,1392336000,1,1
"This was a different take on the whole zombie thing, it's in the POV of a man that was a con when the virus started, and continues up through his own mutation. There were a lot of questions left unanswered and I could see this being one of several small books that stretch a story line out. As it stands alone, it was a very quick paced and relatively short story.",Interesting...,1351987200,0,0
"I read this book last week but did not leave a review at the time.  I really liked the premise of it and tried hard to like the book.  However, I couldn't keep track of the characters and they seemed to just appear from nowhere.  I felt I had missed a part earlier in the book where they were introduced and their story told.  I actually went back looking for it the first time it happened.  I decided to leave a review now because I just read a couple of other reviews that support my view.  The similarity of character names combined with missing pieces of the story left me tired and disappointed.",Agree with other review,1362873600,3,3
"I don't know why when I review books on my kindle it doesn't make it to amazon....but it's annoying to have to do it twice..  This short story was the most bizarre story I have read yet.  I suppose some people like this kind of thing, but to me it was just well, disgusting.  And ending like that?  No thanks...",bizarre,1358294400,0,0
A rather contrived story about gay bashing.  Maybe this was supposed to be a warning??  But one should not be picking up folks in bars for one night stands if one wants to stay safe!  All in all sounded very off from what this author has done before.,Disappointed,1368316800,1,1
"I grasp that this is a novella, however this one shared nothing the readers of the series have not already heard.",Brief,1384041600,0,0
"A Larison Short Story -short being the operative word.  It seemed to end just as soon as it got started.  So there isn't a big time investment here.  Keeping that in mind, it was worth the trouble to download.  Not sure about the .99 cents tho...  No, I take that back.  It's okay.",It's okay,1377734400,0,0
"To rushed. The story skips ahead to fast. Things are not explained properly. To many details are left out. And it is the details, after all, that make a book a book and not a movie.",Rushed,1405036800,0,0
"Got to chapter 6 and could not go any further.  The author, I noticed tried to make this light and humorous and sexual and exciting but I just did not feel that in the words when I read them... the dialog, plot, everything was just...empty.  I like the idea and the concept of the book.  I think if the writer had spent more time developing instead of pulling every old cliche out of the cliche closet where they have been stored for a reason, it would have been a better book.",Save My Soul...,1361404800,5,5
"This another one of the freebies that has real potential to be a longer story.  In a few short pages, I felt some connection to the characters and their story line.  Felt like I was reading a process draft to something bigger.  Price was right and worth the read.",Would like to have seen in a full blown story--has potential for it!,1296432000,0,0
"It was free and the subject seemed to be interesting, but I can't knit and this book did not prod me to want to. Although I think a knitted helmet is cool. My kindle is black and white, so maybe if i saw it in color, it might be different.",It was free,1370822400,0,0
lots of action couldn't stop reading. The writing was well done! I can't wait to read more! It's a must read!,Exciting read,1389052800,0,0
"It was an ok book, I liked it but it seemed a bit rushed at times. But the plot is good. It's readable",Ok,1376697600,0,0
"A young college bound woman tries to get over a bad break-up. Lydia can't get past her ex-boyfriends betrayal. Her struggle is that of a person trying to move on. Many people can maybe relate to that. Lydia isn't all alone she has a quirky friend and a best friend that is aloof but has always been there for her. Lydia is an attractive and intelligent young woman and draws the attention of the male population soon after her break-up. The decision lies in whether she is ready to move on. As Lydia tries something sinister has different plans for her, Containing humongous amounts of humor which delivers well in huge parts to ,Karen, Lydia's friend. Lydia regular life starts to take a turn into nightmare into the end. Frightening as it contends for readers. The things readers might not enjoy is it has a bit of a lot of description that detracts from the story. Does for the most part come out as a captivating read most of the times. The ending is the shining moment, you will not see it coming. Well-recommended.",Didn't See it Coming,1312070400,0,0
I love all of Lissa Matthews books. I love when it seems she has paired couples from different extremes. I loved this book and all the ones about these characters friends. I am waiting for Jackie's story!,Great book!,1361491200,0,0
"I enjoyed reading this book more than the first.  I liked to new twists in this charming mystery.  Ronnie has a lot of expectations placed on her - solve a murder, keep secrets, rekindle a romance, etc.",Pray for a third,1395360000,0,0
