reviewText,summary,unixReviewTime,helpful,unhelpful,rating,label
"I have struggled in the past to understand these Scriptures.  David Ridges helps understand this book of Scripture in a way that it's easy to understand with background information in front of each Section, and his comments where needed.  I should have bought this series of books years ago.",David Ridges is a great teacher!,1366329600,0,0,5,1
"Kaylee is just happy, happy to have a bestfriend like Emma who is going to help her plot a little revenge on her ex-boyfriend who left her before homecoming and had the nerve to ask Emma instead of her. But Em is a really good friend so together they have a master plan...That Kaylee is about to miss when, while shopping, she feels it coming her way, creeping on her lungs, jerking to get free. She is about to scream in the middle of the mall and show the whole world her biggest secret: she is a freak.Or so she thinks. But in fact Kaylee doesn't know what's wrong with her, what are the shadows that she sees sometimes around people or why does she have this sudden urge to scream so badly when she spots one of these shadows.And now her secret is out because she couldn't help herself and HAD to do it. Poor Kaylee wakes up in a mental hospital where she discovers that she actually hurt herself trying to stop the screaming and now she only wonders when are her aunt and uncle going to take her home. Far away from the real crazy people inside that place and far far away of her fears...Personal opinion:I'm so happy. Really, I'm beyond happiness right now. I have finally read the first novella of the Soul Screamers series and now all I want to do is continue with the other books... but I have to take it easy, right? xDMy thoughts? I loved it. It was short and quick but it was so well written that I actually forged a bond with Kaylee. And that means a lot for me so... I have to stop writing and continue with the next one :DOops, before I leave, can I give you an advice? If you haven't read this series yet you might want to reconsider that. Seriously, I all the books and novellas a few months ago and I can't understand why didn't I start reading them before... So, yeah, go and buy them, borrow them, don't know, just read them xD",A great beginning!,1327536000,0,0,4,1
I enjoy Beth Kery's work...I wasn't sure where it was leading me at the beginning but was well worth the reading to get there.  Very steamy!,Liked it!,1403568000,0,0,4,1
All the stories are wonderful and well written. The characters I fall in love with.  I say buy this book,Enjoyed,1388016000,0,0,5,1
Another very good Charlie Parker mystery.  I liked the two separate mysteries going on at once. Also the totally different location for the story was a nice change of pace,Competition can be murder,1365379200,0,0,4,1
"Being a tri-omega werewolf, Leland Summers knew he was special and that his future held two special people for him.  He knew werewolves had soul mates, but in his case he had two and someday he would find them, but he never expected his current photography job to lead him to the both of them.Meeting first Jake and then Luke, Leland didn't think life could get any better than what his two gorgeous mates had to offer him.  When Leland finds that Jake, the alpha of the pack, was already in love with Luke, his omega, Leland starts to wonder if there was a place in their life and hearts for him.Secret Desires is a fun and enjoyable story.  Leland is just adorable and he holds his own against his big, gorgeous and very overbearing lovers. Jake and Luke are the alpha and omega of a pack that chose to be with each other after being shunned by their own birth packs.  The chosen pack were wolves that really cared for one another and I think Leland fit in with them nicely.  Leland's mother, who was also a tri-omega, was a crack up.  She was so matter of fact and blunt it seemed like nothing fazed her.  It was obvious Leland took after her and not his two fathers.  Aside from Leland, Luke and Jake's romance, I was also very interested in Ryland and Gregory and I'm excited that the author Stormy Glenn isn't letting their story end with Secret Desires.  I really liked Secret Desires and I'm looking forward to more from Ms. Glenn regarding this series and other stories.LeyReviewed for Joyfully Reviewed",Secret Desires,1248220800,2,2,5,1
"Langley never fails to deliver. I love a good shifter tale and this one definitely pleases. Dev is a reluctant hero, rising to the occasion to save his mate, Lainey, from an abusive alpha. Lainey is a spunky, cute, klutz who keeps his handsome mate, and the reader, laughing and groaning in turns at his antics. This fast-paced, sensual story kept me turning pages to find out what happened next. This one has a permanent place on my reader, because once wasn't enough.","A fun, sensual ride!",1302480000,1,1,5,1
I was really apprehensive about reading this book but it was seriously really really good! I can NOT wait for the second book.,love love it,1311120000,2,2,5,1
"What a great story. This had everything you would want in a mystery: intrigue, suspense, twists and even a couple of love stories. It is definitely a book that makes me eager to read more of MP-5!. Great job by M.H. Sargent.",Awesome Book!,1398124800,0,0,5,1
"Having visited Ford's Theatre  last year, I have never been so moved by a historical place. This short book nearly brought tears to my eyes. It was moving, absorbing, and passionate. What a wonder to take a brief trip back in time and almost feel like you were there.",Simply awesome.,1391644800,0,0,5,1
